annotation,id,value2,value3,value,value4
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,182,10.590,10.590,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,344,10.570,14.570,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,52,10.550,10.550,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,303,10.540,10.540,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,120,10.510,10.510,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,202,10.500,15.500,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,63,10.500,10.500,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,102,10.500,10.500,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,108,10.500,10.500,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,419,10.500,10.500,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,194,10.490,15.490,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,33,10.489,10.489,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,15,10.488,10.488,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,136,10.470,15.470,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,46,10.470,10.470,0.000,0.500
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,193,10.450,10.450,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,229,10.450,10.450,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,281,10.450,10.450,0.000,0.050
