id,name,slug
289,Sparkasse Arnstadt-Ilmenau,sparkasse_arnstadt_ilmenau
326,Sparkasse Salem-Heiligenberg,sparkasse_salem_heiligenberg
118,Sparkasse Spree-Neiße,sparkasse_spree_neisse
79,Sparkasse Ingolstadt,sparkasse_ingolstadt
66,Sparkasse Allgäu,sparkasse_allgaeu
156,Kreis- und Stadtsparkasse Unna-Kamen,kreis_und_stadtsparkasse_unna_kamen
147,Sparkasse zu Lübeck AG,sparkasse_zu_luebeck_ag
222,Vereinigte Sparkasse im Märkischen Kreis,vereinigte_sparkasse_im_maerkischen_kreis
107,Sparkasse Südliche Weinstraße,sparkasse_suedliche_weinstrasse
373,Stadtsparkasse Bad Pyrmont,stadtsparkasse_bad_pyrmont
25,Kreissparkasse Böblingen,kreissparkasse_boeblingen
196,Sparkasse Mittelholstein AG,sparkasse_mittelholstein_ag
300,Sparkasse Haslach-Zell,sparkasse_haslach_zell
24,Kreissparkasse Heilbronn,kreissparkasse_heilbronn
166,Sparkasse Bad Tölz-Wolfratshausen,sparkasse_bad_toelz_wolfratshausen
409,Sparkasse Laubach-Hungen,sparkasse_laubach_hungen
28,Sparkasse Karlsruhe Ettlingen,sparkasse_karlsruhe_ettlingen
199,Verbands-Sparkasse Wesel,verbands_sparkasse_wesel
