value2,value4,value3,value,id,annotation
11.000,0.030,0.000,16.500,272,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.000,0.050,0.000,16.500,399,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.000,0.050,0.000,16.000,81,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.000,0.050,0.000,16.000,222,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.000,0.050,0.000,15.000,262,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.000,0.050,0.000,11.000,339,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.000,Nicht im Betrieb,0.000,16.000,27,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.010,0.100,0.000,15.510,351,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.030,0.050,0.000,16.030,269,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.030,0.050,0.000,15.780,293,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.050,0.050,0.000,15.550,220,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.050,0.050,0.000,11.050,57,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.050,0.050,0.000,11.050,363,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.070,0.010,0.000,11.070,258,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.073,0.020,0.000,13.073,166,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.080,0.050,0.000,11.080,322,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.090,0.050,0.000,15.590,373,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.090,0.050,0.000,11.090,10,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.100,0.010,0.000,15.850,207,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.100,,,,101,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.113,0.050,0.000,11.113,133,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.130,0.050,0.000,15.130,401,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.130,0.100,0.000,11.130,235,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.140,0.010,0.000,11.140,17,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.150,,,,261,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.160,0.010,0.000,16.160,60,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.170,0.010,0.000,11.170,64,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.170,0.020,0.000,11.170,59,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.190,0.050,0.000,11.190,331,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.200,0.010,0.000,16.200,121,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.200,0.010,0.000,11.200,170,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.200,0.020,0.000,16.450,372,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.220,0.010,0.000,15.720,324,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.230,0.050,0.000,11.230,31,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.230,0.050,0.000,11.230,79,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.230,0.050,0.000,11.230,321,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.237,0.050,0.000,11.237,50,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.240,0.010,0.000,11.240,55,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.240,0.050,0.000,11.240,156,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.250,0.010,0.000,11.250,44,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.250,0.050,0.000,14.250,315,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.250,0.100,0.000,16.250,21,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.250,0.100,0.000,15.750,323,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.250,,,,153,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.250,,,,332,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
