id,value2,value3,value4,value,annotation
163,10.86,11.99,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
212,10.87,14.87,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
239,10.89,15.89,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
5,10.89,10.89,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
92,10.89,16.39,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
337,10.9,10.9,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
381,10.9,10.9,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
114,10.9,15.9,0,0.025,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
358,10.9,14.9,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
41,10.9,10.9,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
356,10.9,10.9,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
304,10.9,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
360,10.9,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
12,10.92,15.42,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
85,10.92,10.92,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
338,10.94,10.94,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
131,10.95,16.45,0,0.01,Die Guthaben-Zinsen gelten ab einem Guthaben von 2.000 Euro. Den Preisaushang haben wir erhalten.
330,10.95,10.95,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
32,10.95,15.07,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
144,10.95,10.95,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
369,10.95,10.95,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
155,10.96,15.61,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
154,10.96,10.96,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
254,10.97,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
270,10.98,15.98,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
158,10.99,10.99,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
127,10.99,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
365,10.999,10.999,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
116,11,11,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
309,11,15.5,0,0.015,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
272,11,16.5,0,0.03,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
399,11,16.5,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
81,11,16,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
222,11,16,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
262,11,15,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
339,11,11,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
27,11,16,0,Nicht im Betrieb,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
351,11.01,15.51,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
269,11.03,16.03,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
293,11.03,15.78,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
220,11.05,15.55,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
57,11.05,11.05,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
363,11.05,11.05,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
258,11.07,11.07,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
166,11.073,13.073,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
322,11.08,11.08,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
373,11.09,15.59,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10,11.09,11.09,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
207,11.1,15.85,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
101,11.1,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
133,11.113,11.113,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
401,11.13,15.13,0,0.05,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
235,11.13,11.13,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
17,11.14,11.14,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
261,11.15,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
60,11.16,16.16,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
64,11.17,11.17,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
59,11.17,11.17,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
331,11.19,11.19,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
121,11.2,16.2,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
170,11.2,11.2,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
372,11.2,16.45,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
324,11.22,15.72,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
